Round,Multi-Hop (DC-MHRM + Q-Learning),Single-Hop (Baseline Placeholder)
1,3689.7264769126778,3689.7264769126778
2,3197.1243079758583,3652.829212143551
3,2942.1319485224685,3615.931947374424
4,2737.249641065455,3579.0346826052973
5,2574.2085032594705,3542.1374178361707
6,2451.971322941953,3505.2401530670436
7,2338.7080296226304,3468.342888297917
8,2252.8663921045,3431.4456235287903
9,2165.039625618564,3394.5483587596636
10,2099.5290192221473,3357.651093990537
11,2029.8554215704667,3320.75382922141
12,1977.7421021280525,3283.8565644522832
13,1935.1703854581651,3246.9592996831566
14,1889.4942387463338,3210.0620349140295
15,1845.9975596907839,3173.164770144903
16,1815.774889441982,3136.267505375776
17,1787.0677378667017,3099.370240606649
18,1758.1030854809685,3062.4729758375224
19,1731.0344686430194,3025.575711068396
20,1706.8590557901387,2988.678446299269
21,1674.2702692981316,2951.7811815301425
22,1647.2261593263797,2914.8839167610154
23,1629.0136072604068,2877.9866519918887
24,1611.857585771648,2841.089387222762
25,1589.6549031493896,2804.192122453635
26,1575.1360523502312,2767.2948576845083
27,1559.4034589895648,2730.3975929153817
28,1544.8451283508487,2693.5003281462546
29,1530.0517595412102,2656.603063377128
30,1518.4894020667975,2619.7057986080013
31,1502.0657036729394,2582.808533838874
32,1487.321922224917,2545.9112690697475
33,1469.3621801963031,2509.014004300621
34,1457.3916361965166,2472.1167395314937
35,1445.4035110345262,2435.219474762367
36,1435.4718400678676,2398.32220999324
37,1422.1760166959214,2361.424945224114
38,1406.2616918344377,2324.527680454987
39,1395.7943144153958,2287.63041568586
40,1383.7904849782622,2250.7331509167334
41,1375.7889462508729,2213.8358861476067
42,1362.428234811573,2176.9386213784796
43,1353.642465764293,2140.0413566093534
44,1345.588648874455,2103.1440918402263
45,1337.6038085870275,2066.2468270710997
46,1327.223113226843,2029.349562301973
47,1316.0225094707773,1992.4522975328462
48,1303.30387081405,1955.5550327637193
49,1294.3901978935464,1918.6577679945924
50,1284.716548346497,1881.7605032254658
51,1276.0794500679617,1844.8632384563389
52,1268.4968414383575,1807.965973687212
53,1259.1227147608306,1771.0687089180853
54,1251.4303041727185,1734.1714441489585
55,1244.479946778668,1697.2741793798316
56,1237.589683771259,1660.3769146107047
57,1230.659179397692,1623.479649841578
58,1224.4594688884415,1586.5823850724512
59,1216.7174452179752,1549.6851203033248
60,1210.7476769614661,1512.787855534198
61,1205.0957163989237,1475.8905907650712
62,1198.5235019713634,1438.9933259959444
63,1192.5227654402847,1402.0960612268175
64,1180.9366461942507,1365.1987964576908
65,1175.8396305270235,1328.301531688564
66,1164.7865328969156,1291.404266919437
67,1153.6907430033802,1254.5070021503104
68,1142.6594824312883,1217.6097373811835
69,1136.8288049716234,1180.7124726120567
70,1131.0101173614976,1143.8152078429298
71,1125.5614705780017,1106.9179430738031
72,1119.5519660827815,1070.0206783046767
73,1114.759192287829,1033.1234135355498
74,1109.4429957057318,996.2261487664231
75,1103.7992059095277,959.3288839972962
76,1098.5741211060795,922.4316192281694
77,1092.9408273271106,885.5343544590427
78,1087.8009534975668,848.6370896899158
79,1083.1007605321954,811.739824920789
80,1077.71087244117,774.8425601516622
81,1072.400404304889,737.9452953825354
82,1067.1240639987795,701.0480306134086
83,1062.4520690262198,664.1507658442818
84,1057.651030163794,627.253501075155
85,1053.987306706126,590.3562363060286
86,1049.1653038343547,553.4589715369018
87,1044.808890125208,516.5617067677749
88,1039.815826458382,479.6644419986481
89,1035.0515368661179,442.76717722952134
90,1030.0860913734482,405.8699124603945
91,1025.3680201330824,368.9726476912677
92,1020.2545444285583,332.0753829221409
93,1015.6016413679006,295.17811815301405
94,1011.3193622829863,258.2808533838873
95,1006.9240156082107,221.38358861476044
96,1001.6166499771011,184.48632384563365
97,998.1539994379182,147.58905907650725
98,994.9809324788905,110.69179430738043
99,990.0881073714968,73.79452953825363
100,985.2194334428259,36.897264769126814
101,980.5748866715116,0.0
102,977.3135028233014,-36.897264769126814
103,973.7267768022889,-73.79452953825363
104,969.174756212299,-110.69179430738043
105,964.1043421333911,-147.58905907650725
106,959.8875465421105,-184.48632384563405
107,956.3749863437777,-221.38358861476087
108,951.7209726049575,-258.2808533838877
109,946.6114398555443,-295.1781181530145
110,943.0589093512423,-332.0753829221413
111,937.1158145705879,-368.9726476912681
112,931.5013980629055,-405.8699124603949
113,927.6695608875625,-442.76717722952174
114,923.2360195598282,-479.66444199864856
115,920.2133824852131,-516.5617067677754
116,915.136020642024,-553.4589715369021
117,911.6815493537104,-590.3562363060281
118,906.6669807960445,-627.253501075155
119,902.8399945487273,-664.1507658442818
120,899.299693036993,-701.0480306134086
121,893.6864894599613,-737.9452953825354
122,888.7356769747757,-774.8425601516622
123,885.4349561276441,-811.739824920789
124,882.8107210614642,-848.6370896899158
125,879.9268270756772,-885.5343544590427
126,877.150739900331,-922.4316192281694
127,872.0294110733248,-959.3288839972962
128,868.427846432544,-996.2261487664231
129,865.5606882602473,-1033.1234135355498
130,862.4975476179418,-1070.0206783046767
131,858.5689296822009,-1106.9179430738036
132,855.0168945202058,-1143.8152078429302
133,851.7330349329809,-1180.7124726120571
134,847.5725730175568,-1217.609737381184
135,842.7041213023101,-1254.5070021503107
136,840.0878600440535,-1291.4042669194375
137,836.8706733559328,-1328.3015316885644
138,832.3620162033326,-1365.198796457691
139,829.8762055010575,-1402.096061226818
140,825.7143907285911,-1438.9933259959448
141,821.9145293138695,-1475.8905907650717
142,817.721512933914,-1512.7878555341977
143,814.4351409742235,-1549.6851203033243
144,811.5636640934841,-1586.5823850724512
145,808.9032841541527,-1623.479649841578
146,805.4331075991795,-1660.3769146107047
147,801.7106111865914,-1697.2741793798316
148,798.2526066520613,-1734.1714441489585
149,794.1191614064016,-1771.0687089180853
150,789.7061450626784,-1807.965973687212
151,784.961249769432,-1844.8632384563389
152,781.821385914772,-1881.7605032254658
153,777.187889547482,-1918.6577679945924
154,772.7355238712036,-1955.5550327637193
155,768.2727946156322,-1992.4522975328462
156,764.2318009979589,-2029.349562301973
157,760.4811033035845,-2066.2468270710997
158,757.7960147903349,-2103.1440918402263
159,753.8012611096278,-2140.0413566093534
