Round,Throughput (bits)
1,38000000
2,28948000
3,25108000
4,23156000
5,21712000
6,20460000
7,19616000
8,18864000
9,18300000
10,17680000
11,17256000
12,16744000
13,16336000
14,15972000
15,15700000
16,15384000
17,15196000
18,14976000
19,14748000
20,14516000
21,14320000
22,14120000
23,13900000
24,13756000
25,13584000
26,13412000
27,13300000
28,13144000
29,13052000
30,12960000
31,12856000
32,12704000
33,12568000
34,12432000
35,12328000
36,12232000
37,12152000
38,12084000
39,11936000
40,11868000
41,11768000
42,11704000
43,11604000
44,11552000
45,11496000
46,11456000
47,11380000
48,11288000
49,11168000
50,11096000
51,11004000
52,10912000
53,10840000
54,10748000
55,10688000
56,10640000
57,10576000
58,10528000
59,10472000
60,10424000
61,10360000
62,10312000
63,10252000
64,10220000
65,10116000
66,10060000
67,9992000
68,9912000
69,9828000
70,9768000
71,9724000
72,9672000
73,9596000
74,9568000
75,9528000
76,9516000
77,9488000
78,9436000
79,9412000
80,9376000
81,9324000
82,9280000
83,9220000
84,9196000
85,9148000
86,9120000
87,9092000
88,9064000
89,9036000
90,9004000
91,8972000
92,8940000
93,8904000
94,8876000
95,8840000
96,8796000
97,8744000
98,8708000
99,8664000
100,8636000
101,8588000
102,8548000
103,8528000
104,8500000
105,8480000
106,8448000
107,8428000
108,8396000
109,8364000
110,8336000
111,8300000
112,8260000
113,8228000
114,8208000
115,8168000
116,8132000
117,8084000
118,8060000
119,8028000
120,8008000
121,7988000
122,7952000
123,7924000
124,7884000
125,7860000
126,7824000
127,7800000
128,7748000
129,7724000
130,7712000
131,7692000
132,7652000
133,7628000
134,7604000
135,7580000
136,7540000
137,7524000
138,7500000
139,7452000
140,7440000
141,7404000
142,7388000
143,7352000
144,7336000
145,7304000
146,7280000
147,7240000
148,7220000
149,7208000
150,7180000
151,7152000
152,7140000
153,7120000
154,7092000
155,7048000
156,7012000
157,6992000
158,6972000
159,6964000
160,6940000
161,6908000
162,6876000
163,6868000
164,6852000
165,6840000
166,6832000
167,6808000
168,6792000
169,6748000
170,6740000
171,6724000
172,6708000
173,6684000
174,6676000
175,6668000
176,6656000
177,6636000
178,6596000
179,6572000
180,6560000
181,6508000
182,6484000
183,6464000
184,6460000
185,6440000
186,6404000
187,6384000
188,6352000
189,6324000
190,6296000
191,6276000
192,6248000
193,6236000
194,6200000
195,6188000
196,6156000
197,6144000
198,6140000
199,6128000
200,6084000
201,6068000
202,6056000
203,6052000
204,6008000
205,5968000
206,5956000
207,5920000
208,5904000
209,5880000
210,5860000
211,5840000
212,5828000
213,5804000
214,5776000
215,5772000
216,5752000
217,5740000
218,5716000
219,5716000
220,5700000
221,5676000
222,5644000
223,5636000
224,5624000
225,5596000
226,5576000
227,5572000
228,5556000
229,5544000
230,5524000
231,5496000
232,5492000
233,5464000
234,5452000
235,5432000
236,5420000
237,5404000
238,5384000
239,5336000
240,5316000
241,5292000
242,5264000
243,5244000
244,5224000
245,5204000
246,5196000
247,5176000
248,5164000
249,5148000
250,5104000
251,5076000
252,5044000
253,5020000
254,5000000
255,4984000
256,4960000
257,4940000
258,4924000
259,4892000
260,4876000
261,4856000
262,4844000
263,4812000
264,4788000
265,4772000
266,4748000
267,4724000
268,4716000
269,4696000
270,4680000
271,4648000
272,4632000
273,4616000
274,4596000
275,4568000
276,4556000
277,4536000
278,4512000
279,4488000
280,4472000
281,4448000
282,4436000
283,4420000
284,4408000
285,4388000
286,4364000
287,4348000
288,4344000
289,4328000
290,4300000
291,4288000
292,4276000
293,4248000
294,4244000
295,4224000
296,4208000
297,4196000
298,4180000
299,4164000
