Round,Total Energy (J)
1,3689.7264769126778
2,3197.1243079758583
3,2942.1319485224685
4,2737.249641065455
5,2574.2085032594705
6,2451.971322941953
7,2338.7080296226304
8,2252.8663921045
9,2165.039625618564
10,2099.5290192221473
11,2029.8554215704667
12,1977.7421021280525
13,1935.1703854581651
14,1889.4942387463338
15,1845.9975596907839
16,1815.774889441982
17,1787.0677378667017
18,1758.1030854809685
19,1731.0344686430194
20,1706.8590557901387
21,1674.2702692981316
22,1647.2261593263797
23,1629.0136072604068
24,1611.857585771648
25,1589.6549031493896
26,1575.1360523502312
27,1559.4034589895648
28,1544.8451283508487
29,1530.0517595412102
30,1518.4894020667975
31,1502.0657036729394
32,1487.321922224917
33,1469.3621801963031
34,1457.3916361965166
35,1445.4035110345262
36,1435.4718400678676
37,1422.1760166959214
38,1406.2616918344377
39,1395.7943144153958
40,1383.7904849782622
41,1375.7889462508729
42,1362.428234811573
43,1353.642465764293
44,1345.588648874455
45,1337.6038085870275
46,1327.223113226843
47,1316.0225094707773
48,1303.30387081405
49,1294.3901978935464
50,1284.716548346497
51,1276.0794500679617
52,1268.4968414383575
53,1259.1227147608306
54,1251.4303041727185
55,1244.479946778668
56,1237.589683771259
57,1230.659179397692
58,1224.4594688884415
59,1216.7174452179752
60,1210.7476769614661
61,1205.0957163989237
62,1198.5235019713634
63,1192.5227654402847
64,1180.9366461942507
65,1175.8396305270235
66,1164.7865328969156
67,1153.6907430033802
68,1142.6594824312883
69,1136.8288049716234
70,1131.0101173614976
71,1125.5614705780017
72,1119.5519660827815
73,1114.759192287829
74,1109.4429957057318
75,1103.7992059095277
76,1098.5741211060795
77,1092.9408273271106
78,1087.8009534975668
79,1083.1007605321954
80,1077.71087244117
81,1072.400404304889
82,1067.1240639987795
83,1062.4520690262198
84,1057.651030163794
85,1053.987306706126
86,1049.1653038343547
87,1044.808890125208
88,1039.815826458382
89,1035.0515368661179
90,1030.0860913734482
91,1025.3680201330824
92,1020.2545444285583
93,1015.6016413679006
94,1011.3193622829863
95,1006.9240156082107
96,1001.6166499771011
97,998.1539994379182
98,994.9809324788905
99,990.0881073714968
100,985.2194334428259
101,980.5748866715116
102,977.3135028233014
103,973.7267768022889
104,969.174756212299
105,964.1043421333911
106,959.8875465421105
107,956.3749863437777
108,951.7209726049575
109,946.6114398555443
110,943.0589093512423
111,937.1158145705879
112,931.5013980629055
113,927.6695608875625
114,923.2360195598282
115,920.2133824852131
116,915.136020642024
117,911.6815493537104
118,906.6669807960445
119,902.8399945487273
120,899.299693036993
121,893.6864894599613
122,888.7356769747757
123,885.4349561276441
124,882.8107210614642
125,879.9268270756772
126,877.150739900331
127,872.0294110733248
128,868.427846432544
129,865.5606882602473
130,862.4975476179418
131,858.5689296822009
132,855.0168945202058
133,851.7330349329809
134,847.5725730175568
135,842.7041213023101
136,840.0878600440535
137,836.8706733559328
138,832.3620162033326
139,829.8762055010575
140,825.7143907285911
141,821.9145293138695
142,817.721512933914
143,814.4351409742235
144,811.5636640934841
145,808.9032841541527
146,805.4331075991795
147,801.7106111865914
148,798.2526066520613
149,794.1191614064016
150,789.7061450626784
151,784.961249769432
152,781.821385914772
153,777.187889547482
154,772.7355238712036
155,768.2727946156322
156,764.2318009979589
157,760.4811033035845
158,757.7960147903349
159,753.8012611096278
160,749.7258021044772
161,746.3314766575485
162,744.5376329181984
163,742.457417542695
164,739.2947638294904
165,737.3911129428411
166,734.1608613205246
167,732.1927137043764
168,728.8274555978426
169,726.9868125637967
170,725.1725990733373
171,722.5959920276564
172,718.9917296301624
173,716.8328086769407
174,714.6612155054459
175,712.7145328666323
176,710.4668079591418
177,706.8798017348353
178,704.3038239251556
179,700.9424305086839
180,697.86882906712
181,695.4888231623218
182,694.0467891587238
183,691.5712019638858
184,689.0349085247909
185,686.1572325446583
186,683.1873420102578
187,680.5863761830997
188,675.3757854499698
189,672.0226643660103
190,668.871449786468
191,666.6424046892024
192,664.1373939721648
193,661.5151548788713
194,658.7383498063921
195,656.2437657391856
196,654.070350139347
197,651.9185675027675
198,650.1402705995112
199,645.7220525152687
200,641.7921723081057
201,639.7252995642389
202,637.6051480590105
203,633.2573992798443
204,628.7938412291669
205,626.3440190871823
206,621.9946190654774
207,619.1806207185047
208,615.7017827108988
209,613.5376989907011
210,611.3931765352877
211,609.5048103544997
212,607.7250751911887
213,605.3956070071249
214,603.8651960034446
215,600.7663011443768
216,598.0315801214354
217,595.7906504951955
218,594.3943585082906
219,592.984905981243
220,590.3710012334434
221,586.9596835331815
222,584.558058453491
223,582.7479044010779
224,581.3365103704932
225,579.9965292260338
226,578.3409496134046
227,576.8720743329525
228,573.9447955600401
229,571.1180141828034
230,568.0557813810907
231,566.3329827990602
232,563.2862733061397
233,560.3901106514074
234,557.4944198937193
235,555.7890608761472
236,553.7932874282101
237,550.5459317540522
238,547.3978899283318
239,544.3070744989709
240,541.2907395745508
241,538.4148897351625
242,535.495205590733
243,532.6364659444496
244,529.7719743484718
245,526.9380116631111
246,524.1673431528944
247,521.4121342576086
248,518.7063399889357
249,516.0527245860756
250,513.5034352347172
251,510.9796588020372
252,508.2222220898961
253,505.83928747429934
254,503.1535152870701
255,500.52628675523573
256,497.9482020065643
257,495.37503348034
258,492.82220294832524
259,490.2994476999662
260,487.8506126856778
261,485.4502346575248
262,483.08548316817553
263,480.77870111897744
264,478.5302291845416
265,476.33336088913626
266,474.16804422416817
267,472.03125527820237
268,469.8880887522417
269,467.77050693869717
270,465.6381189650508
271,463.61280386377655
272,461.5754925871785
273,459.5693850649412
274,457.59943971420404
275,455.6614531051461
276,453.7412415098861
277,451.84967690993926
278,449.9973677180561
279,448.1779676662914
280,446.3827080920785
281,444.6148854808177
282,442.87938188617596
283,441.16120886486186
284,439.32888849494105
285,437.533971509035
286,435.76227154355934
287,434.0136606785869
288,432.2891098005836
289,430.5865399475786
290,428.91202704718467
291,427.25472994216454
292,425.6268649143003
293,424.0279564820046
294,422.44878930608684
295,420.88472681793917
296,419.33261937191617
297,417.8049967172391
298,416.29306229194583
299,414.80761644756757
300,413.3591946449545
301,411.93509565560623
302,410.53812197415266
303,409.15253552186374
304,407.78688333568863
305,406.43264115920937
306,405.0982256648724
307,403.77567346779006
308,402.45652477483213
309,401.15111839001395
310,399.86307181364936
311,398.5927853781358
312,397.34553422227276
313,396.1127439420494
314,394.8976930245625
315,393.6936845220223
316,392.4980575461755
317,391.32351560693627
318,390.17723274981324
319,389.03242998209845
320,387.8991810791805
321,386.7690293101925
322,385.64189101924006
323,384.5232171554625
324,383.412185388411
325,382.32511946254556
326,381.2780883263611
327,380.2469935504855
328,379.2155775215341
329,378.1890944189091
330,377.16678161306606
331,376.14650878801
332,375.13719174288434
333,374.13315084778816
334,373.1404231775766
335,372.1614044680766
336,371.18855212895727
337,370.225763665192
338,369.2687354066552
339,368.31446711890885
340,367.3618102417588
341,366.4170642875524
342,365.4789380432815
343,364.54863523730927
344,363.6397885311045
345,362.7435008613227
346,361.859230682535
347,360.9789178098148
348,360.10182009883647
349,359.23365028551984
350,358.36963124070337
351,357.51141326892724
352,356.654818364918
353,355.809029501342
354,354.9670061378666
355,354.13033498579796
356,353.29561265156735
357,352.4501835234448
358,351.6080343575727
359,350.7746872400619
360,349.96496915156445
361,349.15568410534024
362,348.3540349822374
363,347.55970299983517
364,346.7701474077177
365,345.9834461417087
366,345.2053377461143
367,344.4057778146559
368,343.5608931138021
369,342.7169438102545
370,341.88110456882737
371,341.05308255269637
372,340.22928312372244
373,339.4095449410821
374,338.5940768580765
375,337.7790692078719
376,336.9687369765104
377,336.16376778647134
378,335.3386506647075
379,334.5180455465969
380,333.70307742068053
381,332.8944071584328
382,332.0902771127623
383,331.28886955996154
384,330.4943407701511
385,329.70369794181266
386,328.9171921692288
387,328.13795860612754
388,327.36414392886957
389,326.59512132743924
390,325.77428413237635
391,324.9613930934562
392,324.145535657045
393,323.3355072729094
394,322.52672342956305
